,Unnamed: 0,Title,Year,Rating,Rating Count,Label
206,tt1979320,Rush,2013,8.1,"390,273",
207,tt1028532,Hachi: A Dog's Tale,2009,8.1,"222,302",
208,tt3315342,Logan,2017,8.1,"553,983",
209,tt0060107,Andrei Rublev,1966,8.1,"38,644",
210,tt0053198,The 400 Blows,1959,8.1,"91,970",
211,tt0264464,Catch Me If You Can,2002,8.1,"715,219",
212,tt1895587,Spotlight,2015,8.1,"362,975",1000000
213,tt0019254,The Passion of Joan of Arc,1928,8.1,"40,513",
214,tt0245712,Amores Perros,2000,8.1,"206,482",
215,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"688,767",
216,tt0087544,Nausicaä of the Valley of the Wind,1984,8.0,"127,642",
217,tt0093779,The Princess Bride,1987,8.0,"357,257",
218,tt0075148,Rocky,1976,8.0,"470,822",
219,tt0072684,Barry Lyndon,1975,8.0,"131,932",
220,tt0064115,Butch Cassidy and the Sundance Kid,1969,8.0,"186,695",
221,tt0405508,Rang De Basanti,2006,8.0,"100,231",
222,tt0198781,"Monsters, Inc.",2001,8.0,"736,002",
223,tt0097165,Dead Poets Society,1989,8.0,"367,408",
224,tt0032551,The Grapes of Wrath,1940,8.0,"80,640",
225,tt0033870,The Maltese Falcon,1941,8.0,"140,084",
226,tt0088247,The Terminator,1984,8.0,"726,682",
227,tt0101640,Raise the Red Lantern,1991,8.0,"25,586",
228,tt4016934,The Handmaiden,2016,8.0,"78,025",
229,tt0083987,Gandhi,1982,8.0,"206,767",
230,tt0113247,La Haine,1995,8.0,"131,502",
231,tt0246578,Donnie Darko,2001,8.0,"695,874",
232,tt0118694,In the Mood for Love,2000,8.0,"105,234",
233,tt0046911,Diabolique,1955,8.0,"56,402",
234,tt0107048,Groundhog Day,1993,8.0,"539,689",
235,tt1454029,The Help,2011,8.0,"391,358",
236,tt0032138,The Wizard of Oz,1939,8.0,"351,009",
237,tt0073195,Jaws,1975,8.0,"508,521",
238,tt2015381,Guardians of the Galaxy,2014,8.0,"941,161",
239,tt0381681,Before Sunset,2004,8.0,"207,302",
240,tt0092067,Castle in the Sky,1986,8.0,"127,308",
241,tt0087884,"Paris, Texas",1984,8.0,"74,238",
242,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,"961,415",
243,tt0050783,The Nights of Cabiria,1957,8.0,"38,629",
244,tt0101414,Beauty and the Beast,1991,8.0,"387,954",
245,tt0070047,The Exorcist,1973,8.0,"332,258",
246,tt0111495,Three Colors: Red,1994,8.0,"79,786",
247,tt0094625,Akira,1988,8.0,"138,660",
248,tt1954470,Gangs of Wasseypur,2012,8.0,"68,718",
249,tt2338151,PK,2014,8.0,"137,003",
